"folder","file","lines_no_comments","lines_with_comments","language"
"ArcGISPortal","gdbReadR.r",35,42,"R"
"ArcGISPortal","Setup.R",17,31,"R"
"ArcGISPortal","ToolKit.R",4,10,"R"
"Ft_Irwin_CR","00_GDB_Compare_Layers.qmd",441,546,"R"
"Ft_Irwin_CR","01_Compare_Geometry_V3.qmd",789,950,"R"
"Ft_Irwin_CR","01_Export_Unique_Layers_Odd.qmd",370,443,"R"
"Ft_Irwin_CR","02_Compile_Geometry_V4.qmd",797,929,"R"
"Ft_Irwin_CR","03_Parsing.qmd",107,142,"R"
"Ft_Irwin_CR","04_Tables_V3.qmd",615,800,"R"
"Ft_Irwin_CR","05_ColumnCleanup.qmd",102,130,"R"
"Ft_Irwin_CR","06_A_LoadAndSplit.qmd",243,290,"R"
"Ft_Irwin_CR","06_B_DetectDupes.qmd",400,462,"R"
"Ft_Irwin_CR","06_C_ApplyDedupe.qmd",305,341,"R"
"Ft_Irwin_CR","find_gdb_files.R",29,52,"R"
"Ft_Irwin_CR","gdbReadR.r",20,26,"R"
"Ft_Irwin_CR","list_FY25_files.R",22,32,"R"
"Ft_Irwin_CR","ProjectDescription.qmd",134,150,"R"
"Ft_Irwin_CR","Setup.R",18,28,"R"
"NRDRI","EDA.R",109,174,"R"
"NRDRI","Plots.R",38,63,"R"
"NRDRI","Setup.R",19,29,"R"
"PermitData","austin_spatial.qmd",102,119,"R"
"PermitData","Setup.R",17,29,"R"
"PermitData","ToolKit.R",4,10,"R"
"PopulationCenters","PopCenters.qmd",85,131,"R"
"PopulationCenters","Setup.R",17,29,"R"
"PopulationCenters","ToolKit.R",4,10,"R"
"SlopeRasters","00_USGS_Contour_scrape.qmd",82,105,"R"
"SlopeRasters","01_USGSShapeToGPKG.R",140,189,"R"
"SlopeRasters","02_USGS_DEMs.qmd",132,186,"R"
"SlopeRasters","03_USGS_SlopeRasters_V2.qmd",561,747,"R"
"SlopeRasters","05_Big_MSA_slope.qmd",477,586,"R"
"SlopeRasters","05_County_slope.qmd",200,264,"R"
"SlopeRasters","05_Small_MSA_slope.qmd",409,518,"R"
"SlopeRasters","Setup.R",18,28,"R"
"TDLR_Permits","00_TDLR_Permits.qmd",120,128,"R"
"TDLR_Permits","01_TDLR_Permits.qmd",45,53,"R"
"TDLR_Permits","02_TDLR_Permits.qmd",56,67,"R"
"TDLR_Permits","03_TDLR_Leaflets.qmd",140,156,"R"
"TDLR_Permits","city_lookup.R",1926,1929,"R"
"TDLR_Permits","county_lookup.R",269,276,"R"
"TDLR_Permits","Setup.R",18,28,"R"
"TexasComptroller","01.5_CountyISD_summary_post_2021.qmd",98,143,"R"
"TexasComptroller","01_SDPV_StateSummary.qmd",44,70,"R"
"TexasComptroller","02_SDPV_ISD_Production_scrape_post_2018.qmd",134,239,"R"
"TexasComptroller","02_SDPV_ISD_Production_scrape_pre_2018.qmd",140,238,"R"
"TexasComptroller","02_SDPV_ISD_Summary_scrape_post_2018.qmd",131,179,"R"
"TexasComptroller","02_SDPV_ISD_Summary_scrape_pre_2018.qmd",139,189,"R"
"TexasComptroller","04_ISD_EDA_Production.R",48,65,"R"
"TexasComptroller","04_ISD_EDA_Summary.R",55,102,"R"
"TexasComptroller","05_Plot_Production.R",134,164,"R"
"TexasComptroller","05_Plot_Summary.R",129,147,"R"
"TexasComptroller","06_Leaflet_Bar.R",148,189,"R"
"TexasComptroller","06_Leaflet_County.R",84,107,"R"
"TexasComptroller","06_Leaflet_ISD.R",93,113,"R"
"TexasComptroller","PATH_script.R",16,23,"R"
"TexasComptroller","Setup.R",64,90,"R"
"TX_Parcels","01_Extract_GPKG_CSV.qmd",500,621,"R"
"TX_Parcels","02_Combine_GPKG_TX_Parcels.qmd",155,181,"R"
"TX_Parcels","02_CombinedCSV_TX_Parcels_all_years.qmd",138,169,"R"
"TX_Parcels","03_Summarize.qmd",82,91,"R"
"TX_Parcels","04_Large_Parcels_MSA.qmd",360,435,"R"
"TX_Parcels","04_PlotParcels.qmd",356,414,"R"
"TX_Parcels","04_PlotRowCounts.qmd",102,119,"R"
"TX_Parcels","05_MSA_AgParcels_2025_20260130_data.qmd",131,188,"R"
"TX_Parcels","05_MSA_AgParcels_300Plus_2025_plots.qmd",82,99,"R"
"TX_Parcels","05_MSA_Parcel_Plots.qmd",303,400,"R"
"TX_Parcels","featureCounter.R",16,21,"R"
"TX_Parcels","getFieldsfromGDB.R",145,198,"R"
"TX_Parcels","layers.R",13,13,"R"
"TX_Parcels","load_csv.R",3,3,"R"
"TX_Parcels","Read_GDB.R",7,8,"R"
"TX_Parcels","RemoveColumnsFromGDB.R",124,165,"R"
"TX_Parcels","Setup.R",20,32,"R"
"US_Census","app.R",138,151,"R"
"US_Census","Census.qmd",126,165,"R"
"US_Census","census.R",88,115,"R"
"US_Census","Census_python.Rmd",136,211,"R"
"US_Census","graph_Viz.R",44,53,"R"
"US_Census","Leaflets.R",76,93,"R"
"US_Census","reticulate.R",2,5,"R"
"US_Census","Setup.R",17,35,"R"
"US_Census","tidycensus.R",49,56,"R"
"US_Census_Permits","Setup.R",18,30,"R"
"US_Census_Permits","TRERC_Historical.qmd",59,80,"R"
"US_Census_Permits","TRERC_Permits.qmd",121,162,"R"
"US_Census_Permits","US_Census_Permits.qmd",64,79,"R"
"USDA_NASS_R","00_USDA_NASS_Dload.qmd",61,78,"R"
"USDA_NASS_R","01_USDA_NASS_Cleaning.qmd",208,245,"R"
"USDA_NASS_R","02_USDA_NASS_Leaflet.qmd",216,290,"R"
"USDA_NASS_R","Lists.R",118,557,"R"
"USDA_NASS_R","Setup.R",19,30,"R"
"USDA_NASS_R","USDA_NASS_geometry.R",46,55,"R"
"TexasComptroller_py","00_DataAgg.py",48,76,"Python"
"TexasComptroller_py","getwd.py",4,11,"Python"
"TexasComptroller_py","PATH_script.py",17,27,"Python"
"TX_Parcels","API_Test.py",16,17,"Python"
"TX_Parcels","fred.py",16,17,"Python"
"TX_Parcels_py","01_Extract.py",365,465,"Python"
"TX_Parcels_py","02_Combine_GPKG_Parcels.py",330,421,"Python"
"TX_Parcels_py","03_Parcel_Attributes_V2.py",264,378,"Python"
"TX_Parcels_py","04_Attribute_Summary_V2.py",171,232,"Python"
"TX_Parcels_py","CompareCSV.py",45,65,"Python"
"US_Census","Census_python.py",117,198,"Python"
"usda_nass_py","__init__.py",0,5,"Python"
"usda_nass_py","00_USDA_NASS_Download.py",26,49,"Python"
"usda_nass_py","01_USDA_NASS_Cleaning.py",197,232,"Python"
