"folder","r_files","r_lines","py_files","py_lines","total_files","total_lines"
"Ft_Irwin_CR",15,4392,0,0,15,4392
"TDLR_Permits",7,2574,0,0,7,2574
"TX_Parcels",17,2537,2,32,19,2569
"SlopeRasters",8,2019,0,0,8,2019
"TexasComptroller",15,1457,0,0,15,1457
"TX_Parcels_py",0,0,5,1175,5,1175
"US_Census",9,676,1,117,10,793
"USDA_NASS_R",6,668,0,0,6,668
"US_Census_Permits",4,262,0,0,4,262
"usda_nass_py",0,0,3,223,3,223
"NRDRI",3,166,0,0,3,166
"PermitData",3,123,0,0,3,123
"PopulationCenters",3,106,0,0,3,106
"TexasComptroller_py",0,0,3,69,3,69
"ArcGISPortal",3,56,0,0,3,56
